0|0.05225229|0.05503825
100|0.00321068|0.00666021
200|0.00299778|0.0039395
300|0.00310751|0.00386656
400|0.00310467|0.00382147
500|0.00309627|0.00378388
600|0.00308585|0.00374824
700|0.00307278|0.0037104
800|0.00305641|0.00366708
900|0.0030362|0.00361597
1000|0.00301177|0.0035561
1100|0.00298281|0.00348797
1200|0.00294883|0.00341312
1300|0.00290902|0.00333362
1400|0.00286238|0.00325144
1500|0.00280793|0.00316825
1600|0.00274524|0.0030855
1700|0.00267479|0.0030046
1800|0.00259827|0.00292711
1900|0.00251866|0.00285474
2000|0.00243994|0.00278921
2100|0.00236646|0.00273192
2200|0.00230199|0.00268363
2300|0.00224877|0.00264431
2400|0.00220702|0.0026132
2500|0.00217528|0.00258905
2600|0.00215123|0.00257041
2700|0.00213258|0.00255588
2800|0.00211753|0.00254429
2900|0.00210478|0.00253473
3000|0.00209351|0.00252653
3100|0.00208318|0.00251925
3200|0.00207345|0.00251258
3300|0.00206413|0.00250634
3400|0.00205508|0.00250038
3500|0.00204624|0.00249463
3600|0.00203756|0.00248903
3700|0.002029|0.00248355
3800|0.00202057|0.00247818
3900|0.00201223|0.00247289
4000|0.002004|0.00246767
4100|0.00199587|0.00246253
4200|0.00198783|0.00245745
4300|0.00197989|0.00245243
4400|0.00197205|0.00244748
