0|0.18748528|0.18662708
100|0.00341274|0.00377627
200|0.0029594|0.00311708
300|0.00212225|0.00251564
400|0.00174048|0.00226223
500|0.00161353|0.00213847
600|0.00157218|0.00206197
700|0.00156685|0.0020105
800|0.00157629|0.00197373
900|0.00159097|0.00194542
1000|0.00160712|0.00192187
1100|0.00162359|0.00190095
1200|0.00164035|0.0018815
1300|0.00165779|0.00186298
1400|0.00167637|0.00184517
1500|0.00169638|0.001828
1600|0.0017179|0.00181149
1700|0.00174072|0.00179565
1800|0.00176446|0.00178052
1900|0.00178863|0.00176612
2000|0.00181275|0.00175249
2100|0.00183637|0.00173959
2200|0.00185912|0.00172736
2300|0.00188073|0.00171563
2400|0.00190101|0.00170423
2500|0.00191989|0.00169297
2600|0.00193735|0.00168168
2700|0.00195344|0.00167025
2800|0.00196821|0.00165859
2900|0.00198175|0.00164665
3000|0.00199412|0.00163444
3100|0.00200539|0.00162199
3200|0.00201559|0.00160937
3300|0.00202477|0.00159668
3400|0.00203295|0.00158404
3500|0.00204016|0.00157157
3600|0.00204642|0.00155942
3700|0.00205178|0.0015477
3800|0.00205628|0.0015365
3900|0.00205999|0.0015259
4000|0.00206296|0.00151594
4100|0.00206524|0.00150661
4200|0.00206688|0.00149791
4300|0.00206792|0.00148981
4400|0.00206841|0.00148228
4500|0.00206837|0.00147526
